_id,gene_name,symbol
7163,uncharacterized LOC101245710,LOC101245710
7164,trihelix transcription factor GT-2-like,LOC101245712
7165,probable pectinesterase/pectinesterase inhibitor 51-like,LOC101245713
7166,"thioredoxin-like 3-2, chloroplastic-like",LOC101245714
7167,uncharacterized LOC101245715,LOC101245715
7168,uncharacterized LOC101245716,LOC101245716
7169,auxin-induced protein X10A-like,LOC101245717
7170,uncharacterized LOC101245718,LOC101245718
7171,putative phospholipid-transporting ATPase 7-like,LOC101245719
7172,uncharacterized LOC101245721,LOC101245721
7173,uncharacterized LOC101245723,LOC101245723
7174,uncharacterized LOC101245724,LOC101245724
7175,uncharacterized LOC101245725,LOC101245725
7176,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101245726
7177,monoglyceride lipase-like,LOC101245727
7178,putative serine/threonine-protein kinase/receptor R831-like,LOC101245728
7179,uncharacterized LOC101245729,LOC101245729
7180,uncharacterized LOC101245730,LOC101245730
7181,ABC transporter I family member 1-like,LOC101245731
7182,uncharacterized LOC101245732,LOC101245732
7183,uncharacterized LOC101245733,LOC101245733
7184,uncharacterized LOC101245734,LOC101245734
7185,uncharacterized LOC101245735,LOC101245735
7186,uncharacterized LOC101245736,LOC101245736
7187,guanine nucleotide-binding protein subunit beta-like protein-like,LOC101245737
7188,SPX domain-containing membrane protein Os02g45520-like,LOC101245738
7189,uncharacterized LOC101245739,LOC101245739
7190,uncharacterized LOC101245740,LOC101245740
7191,receptor-like protein 12-like,LOC101245742
7192,pectinesterase 3-like,LOC101245743
7193,inorganic pyrophosphatase 2-like,LOC101245744
7194,myb-related protein Myb4-like,LOC101245745
7195,uncharacterized LOC101245746,LOC101245746
7196,photosystem II D2 protein-like,LOC101245747
7197,uncharacterized LOC101245748,LOC101245748
7198,nuclear pore complex protein Nup98-Nup96-like,LOC101245750
7199,uncharacterized LOC101245751,LOC101245751
7200,F-box/FBD/LRR-repeat protein At1g13570-like,LOC101245752
7201,uncharacterized LOC101245753,LOC101245753
7202,pentatricopeptide repeat-containing protein At5g38730-like,LOC101245754
7203,bet1-like protein At4g14600-like,LOC101245755
7204,F-box protein At1g47056-like,LOC101245757
7205,beta-galactosidase 5-like,LOC101245759
7206,uncharacterized LOC101245760,LOC101245760
7207,uncharacterized LOC101245762,LOC101245762
7208,bet1-like SNARE 1-1-like,LOC101245764
7209,uncharacterized LOC101245765,LOC101245765
7210,uncharacterized LOC101245766,LOC101245766
7211,anaphase-promoting complex subunit 1-like,LOC101245767
7212,uncharacterized LOC101245768,LOC101245768
7213,uncharacterized LOC101245769,LOC101245769
7214,F-box/kelch-repeat protein At1g80440-like,LOC101245770
7215,pentatricopeptide repeat-containing protein At4g20770-like,LOC101245771
7216,guanine nucleotide-binding protein-like 3 homolog,LOC101245772
7217,uncharacterized LOC101245774,LOC101245774
7218,probable glutathione S-transferase-like,LOC101245775
7219,UBA and UBX domain-containing protein At4g15410-like,LOC101245776
7220,protein SRG1-like,LOC101245777
7221,uncharacterized LOC101245778,LOC101245778
7222,uncharacterized LOC101245780,LOC101245780
7223,kirola-like,LOC101245781
7224,uncharacterized LOC101245782,LOC101245782
7225,"polyribonucleotide nucleotidyltransferase 1, chloroplastic-like",LOC101245783
7226,dual specificity protein kinase splA-like,LOC101245786
7227,uncharacterized LOC101245789,LOC101245789
7228,"29 kDa ribonucleoprotein A, chloroplastic-like",LOC101245790
7229,uncharacterized LOC101245791,LOC101245791
7230,receptor-like protein kinase ANXUR1-like,LOC101245792
7231,histone H3.2-like,LOC101245793
7232,60S ribosomal protein L22-2-like,LOC101245794
7233,uncharacterized LOC101245795,LOC101245795
7234,ATP-dependent helicase BRM-like,LOC101245796
7235,putative G3BP-like protein-like,LOC101245798
7236,sucrose nonfermenting 4-like protein-like,LOC101245800
7237,uncharacterized LOC101245801,LOC101245801
7238,KH domain-containing protein At4g18375-like,LOC101245802
7239,flavoprotein WrbA-like,LOC101245803
7240,uncharacterized LOC101245804,LOC101245804
7241,uncharacterized LOC101245805,LOC101245805
7242,pentatricopeptide repeat-containing protein At5g01110-like,LOC101245807
7243,uncharacterized LOC101245808,LOC101245808
7244,uncharacterized LOC101245809,LOC101245809
7245,apyrase-like,LOC101245810
7246,"branched-chain-amino-acid aminotransferase 5, chloroplastic-like",LOC101245812
7247,wall-associated receptor kinase 2-like,LOC101245813
7248,uncharacterized LOC101245814,LOC101245814
7249,uncharacterized LOC101245816,LOC101245816
7250,uncharacterized LOC101245817,LOC101245817
7251,probable receptor-like protein kinase At5g15080-like,LOC101245818
7252,probable LRR receptor-like serine/threonine-protein kinase At3g47570-like,LOC101245819
7253,uncharacterized LOC101245820,LOC101245820
7254,diacylglycerol O-acyltransferase 1-like,LOC101245821
7255,uncharacterized LOC101245822,LOC101245822
7256,probable serine/threonine-protein kinase drkB-like,LOC101245823
7257,uncharacterized LOC101245824,LOC101245824
7258,uncharacterized LOC101245825,LOC101245825
7259,subtilisin-like protease SDD1-like,LOC101245826
7260,uncharacterized LOC101245827,LOC101245827
7261,ATP-dependent DNA helicase PcrA-like,LOC101245828
7262,exonuclease 1-like,LOC101245831
7263,putative ribonuclease H protein At1g65750-like,LOC101245832
7264,high-affinity nitrate transporter 3.2-like,LOC101245833
7265,uncharacterized LOC101245835,LOC101245835
7266,regulation of nuclear pre-mRNA domain-containing protein 2-like,LOC101245837
7267,vetispiradiene synthase 1-like,LOC101245838
7268,uncharacterized LOC101245839,LOC101245839
7269,uncharacterized LOC101245841,LOC101245841
7270,protein NSP-INTERACTING KINASE 3-like,LOC101245842
7271,putative phospholipid-transporting ATPase 9-like,LOC101245843
7272,putative late blight resistance protein homolog R1B-16-like,LOC101245844
7273,uncharacterized LOC101245845,LOC101245845
7274,uncharacterized LOC101245846,LOC101245846
7275,uncharacterized LOC101245847,LOC101245847
7276,"60S ribosomal protein L16, mitochondrial-like",LOC101245848
7277,two-component response regulator ARR1-like,LOC101245849
7278,luminal-binding protein 4-like,LOC101245850
7279,bifunctional polymyxin resistance protein ArnA-like,LOC101245851
7280,la-related protein 1-like,LOC101245852
7281,uncharacterized LOC101245853,LOC101245853
7282,serine/threonine-protein kinase EDR1-like,LOC101245854
7283,uncharacterized LOC101245856,LOC101245856
7284,UPF0057 membrane protein At4g30660-like,LOC101245857
7285,uncharacterized LOC101245858,LOC101245858
7286,uncharacterized LOC101245859,LOC101245859
7287,uncharacterized LOC101245860,LOC101245860
7288,tubby-like F-box protein 7-like,LOC101245861
7289,beta-glucosidase 18-like,LOC101245862
7290,protein CbbY-like,LOC101245863
7291,uncharacterized LOC101245864,LOC101245864
7292,uncharacterized LOC101245866,LOC101245866
7293,cyclin-D-binding Myb-like transcription factor 1-like,LOC101245867
7294,glutamine-dependent NAD(+) synthetase-like,LOC101245868
7295,vesicle-associated protein 2-1-like,LOC101245870
7296,probable receptor-like protein kinase At1g49730-like,LOC101245872
7297,endoribonuclease Dicer homolog 2-like,LOC101245876
7298,uncharacterized LOC101245877,LOC101245877
7299,uncharacterized LOC101245878,LOC101245878
7300,putative chromatin-remodeling complex ATPase chain-like,LOC101245879
7301,"photosystem II reaction center PSB28 protein, chloroplastic-like",LOC101245880
7302,"acyl carrier protein 1, mitochondrial-like",LOC101245883
7303,vesicle-associated protein 1-3-like,LOC101245885
7304,omega-hydroxypalmitate O-feruloyl transferase-like,LOC101245886
7305,flavin-containing monooxygenase YUCCA10-like,LOC101245887
7306,proteasome subunit alpha type-2-A-like,LOC101245889
7307,ATP phosphoribosyltransferase-like,LOC101245890
7308,B3 domain-containing protein Os07g0563300-like,LOC101245891
7309,vacuolar iron transporter homolog 4-like,LOC101245892
7310,protein ycf2-like,LOC101245894
7311,auxin-induced protein 10A5-like,LOC101245895
7312,putative ribonuclease H protein At1g65750-like,LOC101245897
7313,F-box protein At5g03970-like,LOC101245898
7314,uncharacterized LOC101245899,LOC101245899
7315,RING-H2 finger protein ATL70-like,LOC101245900
7316,"thylakoid lumenal 15.0 kDa protein 2, chloroplastic-like",LOC101245901
7317,B3 domain-containing protein Os01g0234100-like,LOC101245902
7318,"nifU-like protein 4, mitochondrial-like",LOC101245903
7319,ethylene-responsive transcription factor 1B-like,LOC101245906
7320,"adenylate isopentenyltransferase 7, mitochondrial-like",LOC101245910
7321,uncharacterized LOC101245911,LOC101245911
7322,uncharacterized LOC101245912,LOC101245912
7323,costars family protein-like,LOC101245913
7324,uncharacterized LOC101245914,LOC101245914
7325,EPIDERMAL PATTERNING FACTOR-like protein 2-like,LOC101245916
7326,alcohol dehydrogenase-like 3-like,LOC101245918
7327,anther-specific protein TA-29-like,LOC101245919
7328,something about silencing protein 10-like,LOC101245920
7329,germin-like protein 9-3-like,LOC101245921
7330,probable sulfate transporter 3.5-like,LOC101245923
7331,uncharacterized LOC101245925,LOC101245925
7332,receptor-like protein 12-like,LOC101245926
7333,zinc phosphodiesterase ELAC protein 2-like,LOC101245927
7334,indole-3-acetic acid-induced protein ARG7-like,LOC101245928
7335,uncharacterized LOC101245929,LOC101245929
7336,putative gamma-glutamylcyclotransferase At3g02910-like,LOC101245930
7337,uncharacterized LOC101245931,LOC101245931
7338,uncharacterized LOC101245932,LOC101245932
7339,"glucan endo-1,3-beta-glucosidase-like protein 3-like",LOC101245933
7340,uncharacterized LOC101245934,LOC101245934
7341,uncharacterized LOC101245935,LOC101245935
7342,uncharacterized LOC101245936,LOC101245936
7343,dihydroflavonol-4-reductase-like,LOC101245937
7344,"6-phosphofructokinase 5, chloroplastic-like",LOC101245938
7345,uncharacterized LOC101245939,LOC101245939
7346,low affinity sulfate transporter 3-like,LOC101245940
7347,probable E3 ubiquitin-protein ligase ARI2-like,LOC101245941
7348,"50S ribosomal protein L31, chloroplastic-like",LOC101245942
7349,probable serine/threonine-protein kinase At1g18390-like,LOC101245944
7350,uncharacterized LOC101245945,LOC101245945
7351,actin-related protein 6-like,LOC101245946
7352,uncharacterized LOC101245947,LOC101245947
7353,TMV resistance protein N-like,LOC101245948
7354,nudix hydrolase 2-like,LOC101245949
7355,uncharacterized LOC101245950,LOC101245950
7356,probable pectinesterase 29-like,LOC101245951
7357,probable nitrite transporter At1g68570-like,LOC101245952
7358,myb-related protein MYBAS1-like,LOC101245953
7359,protein IQ-DOMAIN 14-like,LOC101245954
7360,uncharacterized LOC101245955,LOC101245955
7361,60S ribosomal protein L7a-2-like,LOC101245956
7362,two-component response regulator-like APRR2-like,LOC101245957
7363,"acyl-[acyl-carrier-protein] desaturase 6, chloroplastic-like",LOC101245958
7364,wall-associated receptor kinase-like 1-like,LOC101245959
7365,"alpha-1,3/1,6-mannosyltransferase ALG2-like",LOC101245960
7366,uncharacterized LOC101245961,LOC101245961
7367,probable xyloglucan endotransglucosylase/hydrolase protein 25-like,LOC101245962
7368,blue copper protein-like,LOC101245963
7369,uncharacterized LOC101245964,LOC101245964
7370,uncharacterized LOC101245965,LOC101245965
7371,DEAD-box ATP-dependent RNA helicase 17-like,LOC101245966
7372,3-hydroxyisobutyryl-CoA hydrolase-like protein 5-like,LOC101245967
7373,protein CWC15 homolog,LOC101245968
7374,uncharacterized LOC101245969,LOC101245969
7375,uncharacterized LOC101245970,LOC101245970
7376,subtilisin-like protease-like,LOC101245971
7377,protein BREVIS RADIX-like,LOC101245972
7378,uncharacterized LOC101245973,LOC101245973
7379,vacuolar-processing enzyme-like,LOC101245974
7380,flavonoid 3'-monooxygenase-like,LOC101245978
7381,zinc finger protein 3-like,LOC101245979
7382,uncharacterized LOC101245980,LOC101245980
7383,uncharacterized LOC101245981,LOC101245981
7384,uncharacterized LOC101245982,LOC101245982
7385,uncharacterized LOC101245983,LOC101245983
7386,receptor-like protein 12-like,LOC101245984
7387,pentatricopeptide repeat-containing protein At4g20740-like,LOC101245985
7388,basic 7S globulin-like,LOC101245987
7389,LOB domain-containing protein 17-like,LOC101245988
7390,zinc finger CCCH domain-containing protein 30-like,LOC101245989
7391,protein PHR1-LIKE 1-like,LOC101245990
7392,1-aminocyclopropane-1-carboxylate oxidase homolog,LOC101245991
7393,cysteine synthase-like,LOC101245992
7394,uncharacterized LOC101245994,LOC101245994
7395,endoglucanase 24-like,LOC101245995
7396,DEAD-box ATP-dependent RNA helicase 26-like,LOC101245996
7397,protein FAR1-RELATED SEQUENCE 5-like,LOC101245997
7398,abscisic acid receptor PYL4-like,LOC101245998
7399,probable cinnamyl alcohol dehydrogenase 6-like,LOC101245999
7400,putative H/ACA ribonucleoprotein complex subunit 1-like protein 1-like,LOC101246000
7401,regulatory protein NPR5-like,LOC101246001
7402,uncharacterized LOC101246002,LOC101246002
7403,uncharacterized LOC101246003,LOC101246003
7404,zinc finger protein CONSTANS-LIKE 2-like,LOC101246004
7405,probable serine/threonine-protein kinase At1g09600-like,LOC101246005
7406,uncharacterized LOC101246006,LOC101246006
7407,putative DNA repair protein RAD23-3-like,rad23
7408,uncharacterized LOC101246008,LOC101246008
7409,uncharacterized LOC101246009,LOC101246009
7410,mutS2 protein-like,LOC101246010
7411,uncharacterized LOC101246011,LOC101246011
7412,uncharacterized LOC101246013,LOC101246013
7413,uncharacterized LOC101246015,LOC101246015
7414,uncharacterized LOC101246016,LOC101246016
7415,RNA pseudourine synthase 5-like,LOC101246017
7416,uncharacterized LOC101246018,LOC101246018
7417,transcription factor DIVARICATA-like,LOC101246019
7418,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101246020
7419,UDP-N-acetylenolpyruvoylglucosamine reductase-like,LOC101246021
7420,cyclic phosphodiesterase-like,LOC101246022
7421,two pore potassium channel c-like,LOC101246023
7422,stress-associated endoplasmic reticulum protein 2-like,LOC101246024
7423,uncharacterized LOC101246025,LOC101246025
7424,uncharacterized LOC101246026,LOC101246026
7425,U-box domain-containing protein 32-like,LOC101246027
7426,"ferredoxin-dependent glutamate synthase 1, chloroplastic-like",LOC101246028
7427,uncharacterized LOC101246030,LOC101246030
7428,uncharacterized LOC101246031,LOC101246031
7429,uncharacterized LOC101246032,LOC101246032
7430,syntaxin-61-like,LOC101246033
7431,transcription factor bHLH122-like,LOC101246034
7432,"alanine aminotransferase 2, mitochondrial-like",LOC101246035
7433,inorganic pyrophosphatase 1-like,LOC101246036
7434,uncharacterized LOC101246037,LOC101246037
7435,uncharacterized LOC101246038,LOC101246038
7436,mitochondrial outer membrane protein porin of 36 kDa-like,LOC101246039
7437,genome polyprotein-like,LOC101246040
7438,probable LRR receptor-like serine/threonine-protein kinase At3g47570-like,LOC101246041
7439,"pentatricopeptide repeat-containing protein At3g04760, chloroplastic-like",LOC101246042
7440,probable splicing factor 3A subunit 1-like,LOC101246043
7441,pentatricopeptide repeat-containing protein At1g08610-like,LOC101246044
7442,uncharacterized LOC101246045,LOC101246045
7443,uncharacterized LOC101246046,LOC101246046
7444,transcriptional regulator ATRX-like,LOC101246047
7445,uncharacterized LOC101246048,LOC101246048
7446,ovarian cancer-associated gene 2 protein homolog,LOC101246049
7447,uncharacterized LOC101246050,LOC101246050
7448,probable inactive serine/threonine-protein kinase bub1-like,LOC101246051
7449,uncharacterized LOC101246052,LOC101246052
7450,germin-like protein subfamily 1 member 1-like,LOC101246053
7451,14-3-3-like protein GF14 iota-like,LOC101246054
7452,squamosa promoter-binding-like protein 12-like,LOC101246055
7453,uncharacterized LOC101246057,LOC101246057
7454,uncharacterized LOC101246058,LOC101246058
7455,uncharacterized LOC101246060,LOC101246060
7456,probable pectinesterase/pectinesterase inhibitor 33-like,LOC101246061
7457,uncharacterized LOC101246062,LOC101246062
7458,transportin-3-like,LOC101246063
7459,uncharacterized LOC101246064,LOC101246064
7460,uncharacterized LOC101246065,LOC101246065
7461,putative S-adenosyl-L-methionine-dependent methyltransferase MSMEG_1480/MSMEI_1444-like,LOC101246066
7462,uncharacterized LOC101246067,LOC101246067
7463,60S acidic ribosomal protein P3-like,LOC101246068
7464,leucine-rich repeat receptor-like serine/threonine-protein kinase At1g17230-like,LOC101246069
7465,peroxidase 3-like,LOC101246070
7466,uncharacterized LOC101246071,LOC101246071
7467,uncharacterized LOC101246072,LOC101246072
7468,uncharacterized LOC101246073,LOC101246073
7469,uncharacterized LOC101246074,LOC101246074
7470,uncharacterized LOC101246075,LOC101246075
7471,uncharacterized LOC101246076,LOC101246076
7472,receptor-like protein 12-like,LOC101246079
7473,uncharacterized LOC101246080,LOC101246080
7474,dehydrogenase/reductase SDR family member on chromosome X-like,LOC101246081
7475,uncharacterized LOC101246082,LOC101246082
7476,uncharacterized LOC101246084,LOC101246084
7477,cytochrome P450 82C4-like,LOC101246085
7478,uncharacterized LOC101246086,LOC101246086
7479,uncharacterized LOC101246088,LOC101246088
7480,mediator of RNA polymerase II transcription subunit 12-like,LOC101246089
7481,"29 kDa ribonucleoprotein, chloroplastic-like",LOC101246091
7482,cytochrome P450 98A2-like,LOC101246092
7483,calreticulin-like,LOC101246093
7484,chaperone protein DnaJ-like,LOC101246094
7485,uncharacterized LOC101246096,LOC101246096
7486,uncharacterized LOC101246097,LOC101246097
7487,uncharacterized LOC101246098,LOC101246098
7488,uncharacterized LOC101246099,LOC101246099
7489,uncharacterized LOC101246100,LOC101246100
7490,uncharacterized LOC101246101,LOC101246101
7491,cytochrome P450 86B1-like,LOC101246102
7492,cysteine proteinase RD21a-like,LOC101246103
7493,putative nuclear matrix constituent protein 1-like protein-like,LOC101246104
7494,wall-associated receptor kinase 5-like,LOC101246105
7495,omega-hydroxypalmitate O-feruloyl transferase-like,LOC101246106
7496,putative pentatricopeptide repeat-containing protein At5g37570-like,LOC101246107
7497,"casein kinase II subunit alpha, chloroplastic-like",LOC101246108
7498,aldose 1-epimerase-like,LOC101246109
7499,LRR receptor-like serine/threonine-protein kinase FLS2-like,LOC101246110
7500,cleavage and polyadenylation specificity factor subunit 1-like,LOC101246111
7501,uncharacterized LOC101246112,LOC101246112
7502,uncharacterized LOC101246113,LOC101246113
7503,serine/threonine-protein kinase HT1-like,LOC101246114
7504,uncharacterized LOC101246115,LOC101246115
7505,glutamate dehydrogenase A-like,LOC101246116
7506,pentatricopeptide repeat-containing protein At5g27110-like,LOC101246117
7507,zinc finger protein ZAT11-like,LOC101246118
7508,auxin-induced protein 5NG4-like,LOC101246119
7509,uncharacterized LOC101246120,LOC101246120
7510,T-complex protein 1 subunit delta-like,LOC101246121
7511,abhydrolase domain-containing protein FAM108C1-like,LOC101246123
7512,manganese-dependent ADP-ribose/CDP-alcohol diphosphatase-like,LOC101246124
7513,protein ASPARTIC PROTEASE IN GUARD CELL 2-like,LOC101246125
7514,F-box/kelch-repeat protein SKIP11-like,LOC101246126
7515,probable F-box protein At1g65740-like,LOC101246127
7516,uncharacterized LOC101246128,LOC101246128
7517,uncharacterized LOC101246131,LOC101246131
7518,"thioredoxin Y1, chloroplastic-like",LOC101246132
7519,calcium-dependent protein kinase 29-like,LOC101246133
7520,putative transcription factor bHLH107-like,LOC101246134
7521,ATP-citrate synthase alpha chain protein 2-like,LOC101246135
7522,nuclear transcription factor Y subunit B-6-like,LOC101246137
7523,benzyl alcohol O-benzoyltransferase-like,LOC101246138
7524,uncharacterized LOC101246140,LOC101246140
7525,uncharacterized LOC101246141,LOC101246141
7526,uncharacterized LOC101246144,LOC101246144
7527,uncharacterized LOC101246145,LOC101246145
7528,uncharacterized LOC101246146,LOC101246146
7529,AP-2 complex subunit alpha-2-like,LOC101246147
7530,protein argonaute 4-like,LOC101246148
7531,mitochondrial import inner membrane translocase subunit TIM14-1-like,LOC101246149
7532,uncharacterized LOC101246150,LOC101246150
7533,3-ketoacyl-CoA synthase 11-like,LOC101246151
7534,syntaxin-21-like,LOC101246152
7535,uncharacterized LOC101246153,LOC101246153
7536,pentatricopeptide repeat-containing protein At4g21065-like,LOC101246154
7537,2-aminoethanethiol dioxygenase-like,LOC101246155
7538,uncharacterized LOC101246156,LOC101246156
7539,uncharacterized LOC101246157,LOC101246157
7540,uncharacterized LOC101246158,LOC101246158
7541,"NAD-dependent malic enzyme 62 kDa isoform, mitochondrial-like",LOC101246159
7542,uncharacterized LOC101246160,LOC101246160
7543,putative transactivator/viroplasmin protein-like,LOC101246161
7544,uncharacterized LOC101246163,LOC101246163
7545,V-type proton ATPase 21 kDa proteolipid subunit-like,LOC101246164
7546,"beta-amylase 3, chloroplastic-like",LOC101246166
7547,membrane-bound O-acyltransferase domain-containing protein 2-like,LOC101246167
7548,phytosulfokine receptor 1-like,LOC101246169
7549,AP-4 complex subunit epsilon-like,LOC101246170
7550,zerumbone synthase-like,LOC101246172
7551,regulatory-associated protein of TOR 1-like,LOC101246173
7552,endoribonuclease Dicer homolog 2-like,LOC101246174
7553,uncharacterized LOC101246176,LOC101246176
7554,F-actin-capping protein subunit alpha-like,LOC101246178
7555,putative invertase inhibitor-like,LOC101246179
7556,uncharacterized LOC101246180,LOC101246180
7557,disease resistance protein RPP13-like,LOC101246181
7558,"glucan endo-1,3-beta-glucosidase 1-like",LOC101246182
7559,uncharacterized LOC101246184,LOC101246184
7560,uncharacterized LOC101246185,LOC101246185
7561,magnesium transporter NIPA2-like,LOC101246186
7562,myosin-J heavy chain-like,LOC101246187
7563,NAC transcription factor ONAC010-like,LOC101246188
7564,hyoscyamine 6-dioxygenase-like,LOC101246190
7565,uncharacterized LOC101246191,LOC101246191
7566,mediator of RNA polymerase II transcription subunit 20a-like,LOC101246192
7567,uncharacterized LOC101246193,LOC101246193
7568,uncharacterized LOC101246194,LOC101246194
7569,putative phosphatidylglycerol/phosphatidylinositol transfer protein DDB_G0282179-like,LOC101246195
7570,uncharacterized LOC101246196,LOC101246196
7571,putative disease resistance protein RGA3-like,LOC101246197
7572,cyclin-dependent kinase inhibitor 2-like,LOC101246198
7573,hippocampus abundant transcript-like protein 1-like,LOC101246199
7574,MORC family CW-type zinc finger protein 3-like,LOC101246200
7575,uncharacterized LOC101246201,LOC101246201
7576,uncharacterized LOC101246202,LOC101246202
7577,ABC transporter G family member 25-like,LOC101246203
7578,protein IQ-DOMAIN 1-like,LOC101246204
7579,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101246205
7580,probable LRR receptor-like serine/threonine-protein kinase At5g45780-like,LOC101246206
7581,uncharacterized LOC101246207,LOC101246207
7582,uncharacterized LOC101246208,LOC101246208
7583,probable serine/threonine-protein kinase GCN2-like,LOC101246209
7584,transcription factor bHLH19-like,LOC101246210
7585,pentatricopeptide repeat-containing protein At2g15820-like,LOC101246211
7586,"pentatricopeptide repeat-containing protein At4g21705, mitochondrial-like",LOC101246213
7587,vicilin-like antimicrobial peptides 2-2-like,LOC101246214
7588,germin-like protein 9-3-like,LOC101246215
7589,uncharacterized LOC101246217,LOC101246217
7590,uncharacterized LOC101246218,LOC101246218
7591,phosphatidylinositol 4-phosphate 5-kinase 4-like,LOC101246219
7592,peroxidase 72-like,LOC101246220
7593,LRR receptor-like serine/threonine-protein kinase GSO1-like,LOC101246221
7594,putative oxidoreductase C1F5.03c-like,LOC101246222
7595,beta-glucosidase 44-like,LOC101246223
7596,cytochrome c oxidase assembly protein COX19-like,LOC101246224
7597,14 kDa proline-rich protein DC2.15-like,LOC101246225
7598,indole-3-acetic acid-induced protein ARG7-like,LOC101246226
7599,uncharacterized LOC101246227,LOC101246227
7600,KDEL-tailed cysteine endopeptidase CEP1-like,LOC101246228
7601,uncharacterized LOC101246229,LOC101246229
7602,uncharacterized LOC101246232,LOC101246232
7603,HVA22-like protein a-like,LOC101246233
7604,peroxisomal membrane protein PEX14-like,LOC101246234
7605,phosphatidylinositol N-acetylglucosaminyltransferase subunit P-like,LOC101246235
7606,NAC domain-containing protein 2-like,LOC101246237
7607,ZF-HD homeobox protein At4g24660-like,LOC101246239
7608,pentatricopeptide repeat-containing protein At5g01110-like,LOC101246240
7609,sulfate transporter 1.3-like,LOC101246241
7610,ocs element-binding factor 1-like,LOC101246243
7611,uncharacterized LOC101246244,LOC101246244
7612,chaperone protein dnaJ 49-like,LOC101246246
7613,uncharacterized LOC101246247,LOC101246247
7614,TMV resistance protein N-like,LOC101246248
7615,uncharacterized LOC101246249,LOC101246249
7616,transcription factor FAMA-like,LOC101246250
7617,vacuolar protein sorting-associated protein 18 homolog,LOC101246251
7618,myb-related protein MYBAS1-like,LOC101246252
7619,uncharacterized LOC101246253,LOC101246253
7620,probable prefoldin subunit 2-like,LOC101246254
7621,uncharacterized LOC101246255,LOC101246255
7622,60S ribosomal protein L7a-2-like,LOC101246256
7623,uncharacterized LOC101246258,LOC101246258
7624,zinc finger protein ZAT4-like,LOC101246259
7625,uncharacterized LOC101246260,LOC101246260
7626,uncharacterized LOC101246261,LOC101246261
7627,CASP-like protein POPTRDRAFT_578614-like,LOC101246262
7628,uncharacterized LOC101246263,LOC101246263
7629,uncharacterized LOC101246265,LOC101246265
7630,uncharacterized LOC101246266,LOC101246266
7631,uncharacterized LOC101246267,LOC101246267
7632,subtilisin-like protease-like,LOC101246268
7633,putative late blight resistance protein homolog R1B-8-like,LOC101246269
7634,uncharacterized LOC101246270,LOC101246270
7635,tryptophanyl-tRNA synthetase,WARS
7636,uncharacterized LOC101246272,LOC101246272
7637,flavonoid 3'-monooxygenase-like,LOC101246273
7638,uncharacterized LOC101246274,LOC101246274
7639,uncharacterized LOC101246275,LOC101246275
7640,uncharacterized LOC101246276,LOC101246276
7641,uncharacterized LOC101246277,LOC101246277
7642,basic 7S globulin-like,LOC101246278
7643,hyoscyamine 6-dioxygenase-like,LOC101246279
7644,uncharacterized LOC101246280,LOC101246280
7645,cellulose synthase A catalytic subunit 4 [UDP-forming]-like,LOC101246281
7646,1-aminocyclopropane-1-carboxylate oxidase homolog,LOC101246282
7647,uncharacterized LOC101246284,LOC101246284
7648,uncharacterized LOC101246285,LOC101246285
7649,"triosephosphate isomerase, chloroplastic-like",LOC101246286
7650,SKP1-like protein 1A-like,LOC101246287
7651,long chain acyl-CoA synthetase 4-like,LOC101246288
7652,B3 domain-containing protein At5g26805-like,LOC101246289
7653,probable E3 ubiquitin-protein ligase RNF217-like,LOC101246290
7654,xyloglucan galactosyltransferase KATAMARI1-like,LOC101246291
7655,uncharacterized LOC101246294,LOC101246294
7656,zeatin O-glucosyltransferase-like,LOC101246295
7657,B3 domain-containing protein REM5-like,LOC101246296
7658,"probable adenylate kinase 1, chloroplastic-like",LOC101246297
7659,probable glycosyltransferase At5g03795-like,LOC101246298
7660,uncharacterized LOC101246299,LOC101246299
7661,chromatin assembly factor 1 subunit FAS2-like,LOC101246300
7662,IST1-like protein-like,LOC101246301
7663,uncharacterized LOC101246302,LOC101246302
7664,phospholipase D delta-like,LOC101246303
7665,leucine--tRNA ligase-like,LOC101246305
7666,stem-specific protein TSJT1-like,LOC101246306
7667,uncharacterized LOC101246307,LOC101246307
7668,uncharacterized LOC101246308,LOC101246308
7669,uncharacterized LOC101246309,LOC101246309
7670,UDP-glucose 6-dehydrogenase-like,LOC101246311
7671,peroxidase 72-like,LOC101246312
7672,"adenylate isopentenyltransferase 5, chloroplastic-like",LOC101246313
7673,UDP-N-acetylenolpyruvoylglucosamine reductase-like,LOC101246314
7674,uncharacterized LOC101246315,LOC101246315
7675,ABC transporter B family member 11-like,LOC101246316
7676,membrane steroid-binding protein 2-like,LOC101246317
7677,PAP-specific phosphatase HAL2-like,LOC101246318
7678,"short-chain dehydrogenase TIC 32, chloroplastic-like",LOC101246319
7679,uncharacterized LOC101246320,LOC101246320
7680,uncharacterized LOC101246321,LOC101246321
7681,uncharacterized LOC101246322,LOC101246322
7682,uncharacterized LOC101246323,LOC101246323
7683,uncharacterized LOC101246324,LOC101246324
7684,transducin beta-like protein 3-like,LOC101246325
7685,probable anion transporter 5-like,LOC101246327
7686,"alanine aminotransferase 2, mitochondrial-like",LOC101246328
7687,serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform-like,LOC101246329
